,sample_id,drug_id,log_synth_published_auc_mean
0,0,0,1.0176618967201736
1,0,1,-2.2500563926309187
2,0,2,-2.3622285403312646
3,0,3,-0.6079634750627625
4,0,4,-2.683843468420104
5,0,5,0.7569021118277646
6,0,6,0.20864207268477308
7,0,7,-2.9699434423948254
8,0,8,-2.818921273269171
9,0,9,-2.4764241826761175
10,0,10,-2.556722600682715
11,0,11,1.0410213954938738
12,0,12,5.458831187666844
13,0,13,-0.4212668417093368
14,0,14,-0.12255236854729512
15,0,15,3.637141359943946
16,0,16,-3.85972082941331
17,0,17,-2.5217984253185284
18,0,18,5.576518661767993
19,0,19,-5.598906217702469
20,0,20,0.6134782711261806
21,0,21,1.9040327689730403
22,0,22,-4.407578416088667
23,0,23,2.4227634910791953
24,0,24,-6.9991617480127735
25,0,25,-2.384817475829254
26,0,26,0.3804789466147849
27,0,27,1.1816043274608545
28,0,28,-0.48547043788688016
29,0,29,-4.928439346751403
30,0,30,3.0814608857739354
31,0,31,0.23411692766413772
32,0,32,-3.931129641127204
33,0,33,-2.372122224596338
34,0,34,1.7272990328451374
35,0,35,6.013940868552277
36,0,36,-1.461473106222111
37,0,37,-5.041358752020056
38,0,38,1.0788989138564953
39,0,39,3.8348249481877428
40,0,40,4.56787918607408
41,0,41,-6.324674984763016
42,0,42,-0.130916987702431
43,0,43,-3.370721459172255
44,0,44,1.3137744662691195
45,0,45,1.3581071007971046
46,0,46,0.40819026955912907
47,0,47,-3.2049653474149
48,0,48,-0.767971936556875
49,0,49,3.417819739981245
50,0,50,9.551040038253696
51,0,51,-0.4115598420636361
52,0,52,1.884620956551855
53,0,53,-5.540928993211375
54,0,54,-4.718568242718421
55,0,55,2.5967036922158284
56,0,56,-1.4932417846754176
57,0,57,1.7997871497828628
58,0,58,0.25758256012003844
59,0,59,2.2236668493203933
60,0,60,4.598712530376961
61,0,61,-3.7933512898903614
62,0,62,0.33140049152462153
63,0,63,1.1023836219043281
64,0,64,0.7685210531060895
65,0,65,-0.9965187525694224
66,0,66,-1.561856478703495
67,0,67,-1.0723745836497094
68,0,68,-1.5504182403679645
69,0,69,0.18598198985899073
70,0,70,2.0414021393915487
71,0,71,5.2051259165472405
72,0,72,1.6171546460915969
73,0,73,0.8619786573691729
74,0,74,-3.56767800416596
75,0,75,-4.498797220931185
76,0,76,0.19094644064177824
77,0,77,2.0769961925703484
78,0,78,3.2426464883658497
79,0,79,0.8537883305642966
80,0,80,-5.104046792948187
81,0,81,3.1743845470150007
82,0,82,4.386102482756637
83,0,83,-3.1431319728090092
84,0,84,-2.4719368082784694
85,0,85,1.014833975630085
86,0,86,1.709875848840583
87,0,87,3.3955877109024737
88,0,88,-0.14441622513461078
89,0,89,1.4354165877846063
90,0,90,0.1418961629801987
91,0,91,-6.142335564345318
92,0,92,4.814941424516826
93,0,93,1.4482655427164004
94,0,94,5.582888713925492
95,0,95,3.3039665382503975
96,0,96,-2.1012677140509433
97,0,97,4.971169410925074
98,0,98,-1.290428189230063
99,0,99,-1.3825700630759825
100,1,0,3.0004514883230766
101,1,1,1.739416001147198
102,1,2,0.6487538168916653
103,1,3,0.5478457877085544
104,1,4,-1.9313724350167998
105,1,5,-2.7877579101767638
106,1,6,-1.03525530452865
107,1,7,-0.958139316389048
108,1,8,0.225158309972684
109,1,9,-1.6812314658484084
110,1,10,2.987806285293077
111,1,11,-0.09472684555702807
112,1,12,3.356301468176482
113,1,13,1.2943062130168559
114,1,14,0.451710218576417
115,1,15,-0.25216512978162486
116,1,16,1.44841103107365
117,1,17,1.6976107256070556
118,1,18,2.9036866484773824
119,1,19,-2.0165036885203356
120,1,20,1.6384015293046958
121,1,21,-0.5004374087497474
122,1,22,-0.5869870105284095
123,1,23,0.5952375290898853
124,1,24,-2.998594507194993
125,1,25,-0.7484019789608081
126,1,26,-4.447731442450309
127,1,27,0.7270532532714507
128,1,28,1.4434452814048937
129,1,29,-3.072209146592489
130,1,30,-0.36846840172664197
131,1,31,-0.7907736321902032
132,1,32,-0.192016459583241
133,1,33,-2.061451059044094
134,1,34,-5.678341980134016
135,1,35,3.5106281939932664
136,1,36,0.012609884051509826
137,1,37,-2.0407336425984344
138,1,38,1.570081447586219
139,1,39,-0.5417446130355378
140,1,40,2.4012768241432645
141,1,41,-4.459377560458004
142,1,42,0.09175217456442208
143,1,43,-2.5026515632531297
144,1,44,1.1156601453224892
145,1,45,2.9500719190094387
146,1,46,2.4593085332469107
